Kd_Prov;Provinsi ;Jumlah_PDAM;Kap_Terpasang;Volume_Produksi_Riil;Jumlah_Pelanggan;Penduduk_Pelayanan;Penduduk_Terlayani;Cakupan_Pelayanan;Rata2_Kehilangan_Air;Rasio_Prod_Terlayani
11;Aceh;15;3900;2331;182099;3294722;1053190;31.9659746710041;36.36;2.21327585715778
12;Sumatera Utara;18;11409;9655;710048;8293067;3296499;39.7500586936051;34.4222222222222;2.92886483508716
13;Sumatera Barat;16;5174;3202;188340;3381158;1623762;48.0238427189738;34.16875;1.9719638715526
14;Riau;6;1975;736;59558;2048389;412654;20.1452946681514;44.4;1.78357655566164
15;Jambi;9;3091;1733;159193;1694382;1013035;59.7878754613777;31.8444444444444;1.71070101230461
16;Sumatera Selatan;13;8524;5448;405619;4885282;2536954;51.9305538554376;33.4615384615385;2.14745714742956
17;Bengkulu;7;1658;1145;76704;865573;473573;54.7120808990114;46.0571428571429;2.41778986555399
18;Lampung;8;1507;887;72398;1733356;514728;29.6954578286284;42.5375;1.72324023561959
19;Kepulauan Bangka Belitung;6;946;276;19945;594273;121820;20.4989962525641;26.75;2.2656378263011
21;Kepulauan Riau;3;558;353;26323;360105;128078;35.5668485580595;27.6;2.75613298146442
31;DKI Jakarta;1;17961;17770;830857;9548008;5927147;62.0773149750189;41;2.9980697289944
32;Jawa Barat;23;21935;16328;1402112;24697856;10087741;40.8446020577657;28.8869565217391;1.61859825703297
33;Jawa Tengah;35;21326;12240;1396886;22114488;8914337;40.3099407049352;29.5;1.37306902352918
34;D. I. Yogyakarta;5;1961;1430;144953;2758393;1080285;39.1635637126399;30.02;1.32372475781854
35;Jawa Timur;38;28857;21198;1700587;23673308;10766192;45.478190035799;29.3;1.96894129326321
36;Banten;6;7265;6199;453805;6459840;2820924;43.6686357556844;23.0666666666667;2.19750691617357
51;Bali;9;6483;5002;393757;3468302;2291272;66.0632205615313;29.0222222222222;2.18306687289855
52;Nusa Tenggara Barat;8;3728;2623;231018;3110982;1384015;44.4880426823427;39.9375;1.89521067329473
53;Nusa Tenggara Timur;15;2511;1271;122195;2127163;911181;42.8355043783669;31.74;1.39489300150025
61;Kalimantan Barat;12;3421;2297;180547;2867527;979873;34.1713608973865;36.325;2.34418133778561
62;Kalimantan Tengah;14;2186;1300;124494;1317368;705399;53.5460858317494;25.2785714285714;1.84292861203376
63;Kalimantan Selatan;12;5777;3439;374183;3438250;2079971;60.4950483530866;28.8166666666667;1.6533884366657
64;Kalimantan Timur;9;7125;5821;380197;2978636;2291086;76.9172869729635;29.1777777777778;2.54071649863864
65;Kalimantan Utara;5;1243;700;42703;479273;263738;55.0287623129198;32.92;2.65414919351781
71;Sulawesi Utara;10;2168;1142;64827;1254373;446343;35.5829565846841;56.72;2.55857042677941
72;Sulawesi Tengah;8;1647;859;83058;1371658;515963;37.6160092384545;25.2125;1.66484806081056
73;Sulawesi Selatan;24;5222;5684;405250;5687021;2471703;43.4621746605121;36.675;2.29962904119144
74;Sulawesi Tenggara;10;1676;799;76827;1485724;479232;32.2557890967636;34.54;1.66725093482906
75;Gorontalo;5;1149;626;60915;1000051;540699;54.0671425757286;33.86;1.15776060247938
76;Sulawesi Barat;3;570;260;30870;501053;213406;42.5915022961643;26.9;1.21833500463904
81;Maluku;6;1104;395;37270;493274;265698;53.8641809623049;34.9333333333333;1.48665025705877
82;Maluku Utara;6;947;668;55574;573724;330536;57.6123711052701;27.5666666666667;2.02095989544255
91;Papua Barat;2;149;115;10263;160223;64022;39.9580584560269;36.25;1.79625753647184
94;Papua;4;1013;822;1642458;536670;219888;40.9726647660574;43.775;3.73826675398385
xxx;Indonesia;371;186166;134754;12145833;149253472;67224944;45.040790742878;32.9708894878706;2.00452379700011
